Частота. Гц,Re. Ом,Im. Ом
1999999.970198,2822.915753,15832.609102
1865860.819817,2939.658718,17072.773784
1740718.245506,3187.751634,18186.306101
1623969.018459,3502.225562,19548.618088
1515050.053596,3934.764490,20878.251968
1413436.263800,4045.633646,22524.595236
1318637.698889,4265.096136,23992.429218
1230197.131634,4652.560104,25463.758546
1147688.359022,5134.143105,27635.853372
1070713.341236,5692.685052,29448.099650
998901.039362,6417.523505,31562.510639
931905.090809,6665.001541,33606.781747
869402.647018,7690.502569,35521.591033
811092.138290,8213.515453,38086.283547
756692.558527,8788.261782,39949.333069
705941.498280,9433.349484,42497.518449
658594.250679,10381.977189,45464.693673
614422.559738,11165.733630,48213.292919
573213.547468,12563.623118,51578.944625
534768.283367,14062.976965,54617.068762
498901.605606,14779.330227,58055.885586
465440.511703,15725.302387,59854.802509
434223.622084,16887.638683,65321.480730
405100.375414,18911.982385,68721.204699
377930.492163,20537.371719,72139.061349
352582.812309,25200.497485,76420.399936
328935.205936,24994.491579,82607.065889
306873.679161,27639.418400,84297.602526
286291.748285,25410.480218,81929.258128
267090.350389,31934.116867,94816.828985
249176.681042,34598.897027,101696.085560
232464.462519,37361.884013,106331.670899
216873.228550,41336.146618,114966.541678
202327.609062,42358.052264,120456.202011
188757.598400,42813.975673,125852.502442
176097.661257,51666.449326,131360.177790
164286.911488,45084.897578,136471.054871
153268.218040,48646.555422,150047.618844
142988.562584,64778.040730,156103.577184
133398.413658,69551.046436,164266.049163
124451.458454,76142.516773,168089.090046
116104.513407,82649.530906,181583.064792
108317.434788,89962.973414,190086.671901
101052.582264,98276.254795,200397.727810
94275.087118,121995.548572,188028.003836
87952.047586,103878.082082,199067.486421
82053.154707,233293.385499,162025.376568
76549.887657,122939.619822,243285.064972
71415.692568,144141.967456,248048.005124
66625.893116,157622.152520,257161.203647
62157.332897,174746.845022,272153.073793
57988.464832,181352.058332,275809.787224
54099.172354,195005.913473,288223.209961
50470.769405,211895.646868,296871.866972
47085.732222,265898.586892,312791.371341
43927.699327,241837.320092,316915.211641
40981.471539,255917.993365,326943.877782
38232.922554,304679.935043,284757.827857
35668.641329,294749.455135,344899.781717
33276.379108,324198.452048,343653.371913
31044.512987,338418.537760,350614.960289
28962.403536,352227.235545,352790.150133
27019.858360,373090.890126,367001.053908
25207.668543,402271.828914,373289.772741
23516.982794,400360.100340,281646.980446
21939.754486,448047.257514,382691.011572
20468.205214,426421.320590,363868.636066
19095.450640,488134.743250,389169.249360
17814.695835,497803.232573,379258.078390
16619.861126,508233.725940,375469.615901
15505.224466,546786.996561,315180.103404
14465.242624,563642.002121,389613.425519
13495.087624,561295.524125,389595.886685
12590.020895,578563.293352,357403.134685
11745.572090,269671.427679,283615.562695
10957.807302,621281.148410,340889.355611
10222.882032,671460.862590,364944.259096
9537.220001,708914.998149,380621.524905
8897.602558,709198.424568,348919.134511
