

Цикл № 1
Шаг  № 1
Точек  100
Потенциостатический режим 0, мВ данные импеданс
Частота, гц                Re, Ом              Im, Ом
1999999.970198               1195.961248                 9191.539297
1739498.019218               1486.149739                 10519.669153
1512926.638126               1830.751823                 12043.699309
1315866.440535               2255.357703                 13855.577352
1144473.552704               2831.261028                 15898.681092
995404.690504               3681.615474                 18045.958748
865752.249956               4716.021428                 20566.164358
752987.176180               5892.796114                 23014.367185
654909.789562               7510.166512                 25946.421886
569607.138634               9102.586918                 29061.742675
495415.270329               11422.377743                 32201.047343
430886.954069               13636.501484                 35575.553743
374763.518572               16943.864897                 39491.565987
325950.175524               20892.528506                 43303.012987
283494.830132               25090.280620                 47418.493186
246569.305658               29258.945534                 51051.741761
214453.428984               34626.320129                 55425.567479
186520.636082               40893.568866                 59303.527763
162226.170301               47559.893839                 61266.533923
141096.085310               56328.221634                 64496.789660
122718.125582               62822.498326                 66180.579423
106733.947992               70875.685681                 68006.742255
92831.790447               78789.955029                 68137.920317
80740.302801               86753.516748                 68071.114335
70223.808289               94762.504662                 67383.956481
61077.117920               101908.642333                 66088.219565
53121.775389               109785.100879                 66199.995870
46202.570200               115554.953393                 62635.525812
40184.676647               122109.767799                 61404.845059
34950.524569               128245.701837                 58431.522191
30398.190022               133352.213583                 55240.892653
26438.802481               137417.294508                 51817.772393
22995.114326               143840.935364                 51054.043382
19999.980927               146954.415239                 49056.845150
17395.019531               151354.530434                 45637.401226
15129.268169               155978.936084                 43209.774044
13158.649206               160404.899284                 40127.564622
11444.717646               163563.992831                 39152.102062
9954.035282               166691.055902                 36529.494628
8657.544851               170259.980222                 34628.883442
7529.854774               171349.027672                 32029.595598
6549.060345               174542.835462                 30599.386998
5696.028471               177513.172983                 27502.219737
4954.129457               178703.645307                 25415.402153
4308.879375               179963.534889                 24820.009343
3747.671843               181600.264137                 22024.184418
3259.509802               184336.403739                 20406.442646
2834.916115               184926.513231                 19086.653886
2465.665340               186830.852233                 18500.322996
2144.515514               187573.619310                 17592.287713
1865.208149               190621.942416                 16283.085213
1622.289419               189538.385267                 18187.623074
1410.931349               193195.951551                 17809.464085
1227.200031               192686.471354                 17100.574167
1067.340374               192617.945113                 15803.593305
928.312540               194614.387120                 16035.308879
807.434320               194554.067837                 15510.239106
702.202320               196863.011678                 15474.416707
610.738993               198448.065743                 16078.551235
531.256199               199736.755889                 17494.256372
462.055206               205188.824047                 10548.181659
401.884317               202720.823984                 16162.420666
349.491835               204204.389693                 20457.424033
303.983688               204802.344148                 17566.857847
264.376402               206634.974195                 16488.502020
229.954720               207562.276128                 16679.884169
200.003386               208100.499521                 16477.849488
173.985958               211999.256868                 16184.383424
151.276588               212289.480990                 14092.240037
131.607056               221328.605518                 21387.180541
114.440918               215872.098440                 17189.213135
99.509954               218102.969804                 17767.934972
86.545944               219163.172714                 17266.621228
75.280666               211086.773312                 26683.595472
65.535307               220697.989119                 20269.180068
56.952238               221953.717415                 16499.341534
49.531460               229123.887678                 19078.804933
43.094158               225558.542221                 16271.876743
37.461519               232208.805024                 9664.593426
32.633543               229194.246483                 8513.388529
28.342009               231523.667665                 19097.518813
24.676323               234588.015007                 18151.586543
21.457672               236036.639521                 17852.890570
18.686056               237530.715891                 17936.610465
16.182661               238618.907163                 18226.977731
14.126301               240344.909303                 18962.279129
12.248755               241988.739364                 19028.079296
10.639429               244219.504405                 18683.029673
9.298325               245526.004992                 20514.334400
8.046627               246232.455688                 18774.454614
7.063150               248444.730583                 19754.344758
6.079674               250592.737890                 20685.639891
5.275011               253008.101355                 19646.314988
4.649162               253318.727914                 20630.453868
4.023314               254736.005901                 21107.410522
3.486872               257072.871305                 21190.538305
3.039837               259162.129909                 21202.680764
2.682209               260667.218369                 20843.345816
2.324581               261039.829966                 20575.606986
1.966953               264595.042913                 21149.693645
