Частота. Гц,Re. Ом,Im. Ом
1999999.970198,1250.458348,9138.907326
1739498.019218,1529.105287,10486.413639
1512926.638126,1919.343109,12029.327486
1315866.440535,2401.209012,13792.828315
1144473.552704,3132.711438,15762.128352
995404.690504,3854.348032,17931.244505
865752.249956,4992.533506,19992.551886
752987.176180,6181.204355,22733.663589
654909.789562,7874.899227,25085.410773
569607.138634,9635.552870,28344.785564
495415.270329,11895.341348,31797.483991
430886.954069,14378.017985,35158.383245
374763.518572,17666.876372,38536.930358
325950.175524,21431.625878,42586.972214
283494.830132,25546.221065,45580.612947
246569.305658,30284.583098,49108.208189
214453.428984,34984.167779,53868.331945
186520.636082,41417.799694,55047.028035
162226.170301,48654.156689,57825.642457
141096.085310,57878.476525,56412.255321
122718.125582,62398.165424,61276.261156
106733.947992,68572.691377,61968.696098
92831.790447,77177.542524,62092.076148
80740.302801,84102.176297,61674.562545
70223.808289,91020.589149,60657.588777
61077.117920,97641.515556,58949.359320
53121.775389,103510.162282,58278.113924
46202.570200,109886.948948,55706.774623
40184.676647,114828.328399,53891.251973
34950.524569,120429.912342,50899.901240
30398.190022,125323.175934,48907.849605
26438.802481,128870.733149,48498.574219
22995.114326,133598.129803,43934.642462
19999.980927,137999.134301,41799.500344
17395.019531,141568.263857,39475.810800
15129.268169,144549.803026,36570.200299
13158.649206,147060.504998,34703.230610
11444.717646,151120.758595,32298.034211
9954.035282,152658.290028,31145.533389
8657.544851,154430.497991,29220.434263
7529.854774,157360.499020,26598.913309
6549.060345,159250.083631,24883.267104
5696.028471,160959.046232,23642.398003
4954.129457,162961.361884,22053.136474
4308.879375,163553.012967,19548.300032
3747.671843,165131.024424,19061.674265
3259.509802,166777.723691,17632.605034
2834.916115,165770.777622,16810.033104
2465.665340,168260.044069,17385.431155
2144.515514,168448.557540,14478.546905
1865.208149,170123.398094,16186.464907
1622.289419,170787.429810,13736.341322
1410.931349,171902.144394,13364.929573
1227.200031,172013.232279,15336.870129
1067.340374,174232.496799,14827.463244
928.312540,174894.069631,13878.645578
807.434320,176836.497279,15203.696565
702.202320,175538.890582,14505.360142
610.738993,178495.816629,16090.837949
531.256199,178842.095111,14410.724856
462.055206,180285.550515,13810.695357
401.884317,181841.218847,12917.708874
349.491835,183499.987291,16498.357506
303.983688,183765.216992,15598.836990
264.376402,186742.833121,15417.351631
229.954720,188022.296003,16523.254862
200.003386,184686.280706,13344.624552
173.985958,190720.687207,16107.066454
151.276588,191045.268013,13821.960445
131.607056,195297.075195,27390.114015
114.440918,194630.718375,15171.248177
99.509954,196216.566848,15844.971124
86.545944,199329.437284,12603.511333
75.280666,196589.569356,6410.496068
65.535307,197206.796878,16229.368794
56.952238,203680.076062,16155.973680
49.531460,204119.885577,9456.930205
43.094158,200788.999147,14988.531626
37.461519,193988.101553,22192.757349
32.633543,208626.528466,11865.500648
28.342009,209475.393492,15006.791128
24.676323,209691.109771,15139.599173
21.457672,211035.446632,15177.691455
18.686056,213496.177814,14982.044370
16.182661,213435.230710,15330.276735
14.126301,214394.403467,15259.725105
12.248755,215775.278376,15382.046850
10.639429,217667.913609,14893.793728
9.298325,217991.827621,14627.084032
8.046627,219685.880112,15437.740978
7.063150,221196.096766,15399.009255
6.079674,223024.912939,14521.553962
5.275011,222871.843183,15386.876864
4.649162,225401.156787,15569.063346
4.023314,226037.135972,14003.928178
3.486872,228245.655515,15326.790582
3.039837,229275.940527,15199.178380
2.682209,230226.967170,14752.208206
2.324581,232057.443617,14925.971171
1.966953,233386.932733,14853.454670
