

Цикл № 1
Шаг  № 1
Точек  100
Потенциостатический режим 500, мВ данные импеданс
Частота, гц                Re, Ом              Im, Ом
1999999.970198             26728.461400              54490.564440
1739498.019218             30755.049928              64011.300100
1512926.638126             39314.081126              96214.246133
1315866.440535             24939.462354              134604.499953
1144473.552704             58390.279935              129005.438408
995404.690504             77833.052978              144216.029977
865752.249956             122474.477639              176326.631562
752987.176180             184836.925830              214303.492396
654909.789562             296849.378570              125547.053342
569607.138634             91318.327478              236971.021949
495415.270329             -81229.225198              308231.009546
430886.954069             328379.776192              275823.188621
374763.518572             1436.597143              281100.798675
325950.175524             61875.412432              189848.107144
283494.830132             144115.816991              62394.850104
246569.305658             308698.281490              362896.280265
214453.428984             62414.473123              103819.908221
186520.636082             -49381.896706              28715.711040
162226.170301             100557.297012              95565.023611
141096.085310             48271.085173              54030.134262
122718.125582             495761.422866              740014.836589
106733.947992             88808.188760              579199.278536
92831.790447             603679.110312              959618.784833
80740.302801             642328.614674              955640.670954
70223.808289             697079.435287              1052483.087851
61077.117920             782207.924289              1136745.825957
53121.775389             115031.776767              220592.281933
46202.570200             930159.523786              1325629.708575
40184.676647             1013634.383991              1408279.734236
34950.524569             1078189.961328              1549531.392485
30398.190022             1212114.872345              1670867.587455
26438.802481             218738.541606              -80524.167048
22995.114326             1425665.882664              2019941.289954
19999.980927             1589808.882452              2206949.674291
17395.019531             1731105.666574              2404191.720452
15129.268169             1902523.236268              2621253.276629
13158.649206             2121582.400434              2839668.450647
11444.717646             2357032.081866              3062119.087020
9954.035282             2614614.478647              3419348.957953
8657.544851             2864157.854677              3578839.089253
7529.854774             3168996.572032              3810975.720085
6549.060345             3645416.390999              4230252.854353
5696.028471             3911471.344453              4383556.737483
4954.129457             4044355.114930              4688085.282706
4308.879375             4699902.941323              4919265.274877
3747.671843             5155240.776890              4989521.513145
3259.509802             5582242.254305              5274077.703646
2834.916115             6026530.369675              5407105.238711
2465.665340             6894097.901096              5815694.136214
2144.515514             7204957.422459              5843266.526651
1865.208149             7835235.807250              6254024.750745
1622.289419             8506510.384804              6567597.871518
1410.931349             9679677.052467              7327060.019857
1227.200031             11013170.888184              6092996.910109
1067.340374             11134138.371383              6803759.213496
928.312540             12841675.011826              7352048.097223
807.434320             11811440.113811              6153647.314163
702.202320             12446563.537603              7395294.994234
610.738993             15041489.267344              5588727.076552
531.256199             13274533.829015              5896296.454752
462.055206             15343247.755706              6438389.277999
401.884317             18153786.294460              6689379.484495
349.491835             16111013.947912              6049567.078021
303.983688             17670769.123472              6257740.670983
264.376402             21014201.664305              11724422.823734
229.954720             18389179.122918              6049301.397330
200.003386             22156097.530580              4710402.406269
173.985958             20338216.424148              4006307.790876
151.276588             19221902.007135              5177643.286302
131.607056             19746395.301744              4597166.942563
114.440918             21086690.934820              2527150.436138
99.509954             21268057.480408              15078503.968560
86.545944             21626552.303572              4017407.885491
75.280666             16576012.186902              3850226.384126
65.535307             23516096.710994              1830817.381380
56.952238             23423215.546559              7115322.253046
49.531460             19699396.772384              -329339.985697
43.094158             22206705.010591              3329196.967191
37.461519             28536161.836919              2402696.309942
32.633543             23543072.656354              -2717245.139817
28.342009             24766038.592389              5067078.369733
24.676323             23993131.300978              4371172.063073
21.457672             30165623.667494              3112785.030444
18.686056             24999453.516892              3802870.104719
16.182661             23777773.471555              7394481.245262
14.126301             23016847.911591              4433172.391850
12.248755             26203966.046849              2552720.822760
10.639429             27774669.421030              3717616.108723
9.298325             25629221.356596              5503377.111879
8.046627             28474046.145113              4421168.989210
7.063150             30551638.575632              3343689.377190
6.079674             27912080.428647              3226873.159982
5.275011             30505186.349679              4932078.102418
4.649162             29771782.276343              6513090.925883
4.023314             24844911.835664              8493980.299253
3.486872             30619732.913158              835047.817216
3.039837             31689851.633238              1808554.476012
2.682209             36042072.479119              996187.238969
2.324581             29444959.805126              5422392.959774
1.966953             32256083.619864              2668101.244161
